,ID,Organics_wt_%,Paper_and_cardboard_wt_%,Plastics_wt_%,Non_combust_wt_%,Total_weight_(kg),energy_kWh_per_kg,total_energy_kWh,cardboard,paper,eps,plastic_bags,flexibles_film,other_plastic,jars,food,textiles,other_organics,aluminium_cans,steel_cans,lpb,pp,pet_bottles,nappies,aluminium_recyclable,batteries,other
93,95,0.9634608755601516,0.006894174422612892,0.021716649431230608,0.007928300586004825,11.604,3.09,35.86,0.0,0.0,0.0,0.032,0.0,0.0,0.0,11.18,0.08,0.0,0.092,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0
94,96,0.827930174563591,0.0,0.06483790523690773,0.10723192019950124,4.812,2.75,13.23,0.0,0.0,0.0,0.028,0.22,0.0,0.0,3.984,0.0,0.0,0.136,0.216,0.0,0.0,0.064,0.0,0.164,0.0,0.0
95,97,0.9789350497366882,0.0,0.012287887653598598,0.008777062609713284,6.836,3.09,21.12,0.0,0.0,0.0,0.056,0.028,0.0,0.0,6.692,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,98,0.9891304347826086,0.0,0.010869565217391304,0.0,2.208,3.12,6.89,0.0,0.0,0.0,0.0,0.024,0.0,0.0,2.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,99,0.22094361334867665,0.5765247410817032,0.13118527042577674,0.0713463751438435,1.738,1.18,2.05,0.8,0.202,0.0,0.02,0.156,0.052,0.0,0.384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124,0.0,0.0
98,100,0.9593810444874277,0.0,0.010638297872340427,0.029980657640232115,4.136,3.02,12.49,0.0,0.0,0.0,0.0,0.044,0.0,0.0,3.968,0.0,0.0,0.0,0.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,101,0.891566265060241,0.0,0.032128514056224904,0.07630522088353414,0.996,2.87,2.86,0.0,0.0,0.0,0.0,0.028,0.004,0.0,0.0,0.0,0.888,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,102,0.9094076655052264,0.0,0.06968641114982578,0.020905923344947733,4.5920000000000005,3.03,13.91,0.0,0.0,0.0,0.0,0.192,0.128,0.0,4.176,0.0,0.0,0.0,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,103,0.05343511450381679,0.26717557251908397,0.3282442748091603,0.3511450381679389,0.262,0.27,0.07,0.054,0.016,0.0,0.016,0.056,0.014,0.0,0.0,0.0,0.014,0.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,104,0.8813343519225871,0.032594856124267886,0.06799083269671505,0.018079959256429842,15.708,3.03,47.6,0.444,0.0,0.0,0.228,0.592,0.116,0.0,0.0,0.04,3.156,0.284,0.0,0.028,0.004,0.128,10.688,0.0,0.0,0.0
103,105,0.910974673829624,0.0,0.03607060629316961,0.05295471987720645,5.212000000000001,2.94,15.32,0.0,0.0,0.0,0.072,0.036,0.0,0.0,0.0,0.0,4.748,0.0,0.276,0.0,0.0,0.08,0.0,0.0,0.0,0.0
104,106,0.4852752880921895,0.3207426376440461,0.05889884763124199,0.1350832266325224,6.248,2.09,13.06,0.108,1.896,0.02,0.068,0.228,0.004,0.0,1.024,0.0,1.896,0.568,0.132,0.0,0.0,0.048,0.112,0.0,0.144,0.0
105,107,0.8616071428571429,0.03125,0.004464285714285714,0.10267857142857142,0.896,2.78,2.49,0.028,0.0,0.0,0.0,0.004,0.0,0.0,0.772,0.0,0.0,0.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,108,0.4735007986060694,0.005227239727021924,0.0627268767242631,0.4585450849426455,13.774000000000001,1.58,21.76,0.0,0.072,0.04,0.072,0.12,0.092,0.0,5.976,0.0,0.0,3.336,1.14,0.0,0.0,0.54,0.546,1.84,0.0,0.0
107,109,0.9753694581280788,0.0,0.0,0.024630541871921187,4.06,3.04,12.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
108,110,1.0,0.0,0.0,0.0,7.792,3.12,24.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,111,0.9868181818181818,0.0,0.013181818181818182,0.0,8.799999999999999,3.12,27.46,0.0,0.0,0.0,0.0,0.092,0.0,0.0,8.684,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0
